 , , ,BKV,,No.,CAPE Name,BKV,Name1,Name2,Comment,,,
270607,COLLINS,,765,<>,11,BUS_1,765,BG,JQ,,,,
270607,COLLINS,,765,<>,12,BUS_2,765,BG,JQ,,,,
270607,COLLINS,,765,<>,13,BUS_3,765,BG,JQ,,,,
270607,COLLINS,,765,<>,14,BUS_4,765,BG,JQ,,,,
270607,COLLINS,,765,<>,15,BUS_5,765,BG,JQ,,,,
,,,,<>,,,,,,,,,
270630,PLANO,,765,<>,6,PLANO765,765,BG,JQ,,,,
,,,,<>,,,,,,,,,
270644,WILTON,,765,<>,1,BUS_2 65B,765,BG,JQ,,,,
270644,WILTON,,765,=,3,BUS_3 65B,765,BG,JQ,,,,
270644,WILTON,,765,=,4,BUS_4 65B,765,BG,JQ,,,,
270644,WILTON,,765,=,5,BUS_5 65B,765,BG,JQ,,,,
,,,,,,,,,,,,,
270780,ITASCA,B,345,=,181,ITASCA45,345,BG,JQ,,,,
270781,ITASCA,R,345,=,182,ITASCA45 R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270808,LISLE,B,345,=,168,LISLE B 45B2,345,BG,JQ,,,,
270808,LISLE,B,345,=,283,LISLE B 45B1,345,BG,JQ,,,,
270809,LISLE,R,345,=,284,LISLE R 45B4,345,BG,JQ,,,,
270809,LISLE,R,345,=,344,LISLE R 45B3,345,BG,JQ,,,,
,,,,,,,,,,,,,
270810,LOCKPORT,B,345,=,160,LCKPR45B,345,BG,JQ,,,,
270811,LOCKPORT,R,345,=,110,LCKPR45R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270730,ELECT JCT,B,345,=,188,ELJCT45B,345,BG,JQ,,,,
270730,ELECT JCT,B,345,=,186,L1221TP,345,BG,JQ,,,,
270731,ELECT JCT,4R,345,=,106,ELJCT45R,345,BG,JQ, Previously we had mapped 270731 to 107 and 270733 to 106. We changed it to agree with the CAPE engineer mapping.,,,
270733,ELECT JCT,3R,345,=,107,L1223TP,345,BG,JQ,,,,
,,,,,,,,,,,,,
270926,WILTON,B,345,=,355,BUS_5 45B,345,BG,JQ,,,,
270926,WILTON,B,345,=,354,BUS_4 45B,345,BG,JQ,,,,
270926,WILTON,B,345,=,356,BUS_6 45B,345,BG,JQ,,,,
270927,WILTON,R,345,=,352,BUS_2 45B,345,BG,JQ,,,,
270927,WILTON,R,345,=,353,BUS_3 45B,345,BG,JQ,,,,
270927,WILTON,R,345,=,358,Bus_7 45B,345,BG,JQ,,,,
,,,,,,,,,,,,,
270690,CALUMET,3I,345,=,3045,CLMTSRSIND3,345,BG,JQ,,,,
270691,CALUMET,4I,345,=,3046,CLMTSRSIND4,345,BG,JQ,,,,
270688,CALUMET,B,345,=,6106,CALIND,345,BG,JQ,,,,
270688,CALUMET,B,345,=,3022,CALUMET,345,BG,JQ,,,,
270689,CALUMET,R,345,=,6108,CALIND,345,BG,JQ,,,,
270689,CALUMET,R,345,=,3023,CALUMET,345,BG,JQ,,,,
,,,,,,,,,,,,,
270658,BEDFORD P,B,345,=,125,BDFDPK45,345,BG,JQ,,,,
270659,BEDFORD P,R,345,=,123,BDFDPK45,345,BG,JQ,,,,
,,,,,,,,,,,,,
270766,GOODINGS,3B,345,=,100,GDGRV45B B3,345,BG,JQ,,,,
270767,GOODINGS,1R,345,=,101,GDGRV45R B1,345,BG,JQ,,,,
270769,GOODINGS,2R,345,=,140,GDGRV45R B2,345,BG,JQ,,,,
270770,GOODINGS,4B,345,=,139,GDGRV45B B4,345,BG,JQ,,,,
,,,,,,,,,,,,,
270856,P HTS 117,B,345,=,151,PH11745B,345,BG,JQ,,,,
270857,P HTS 117,R,345,=,152,PH11745R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270813,LOMBARD,R,345,=,102,LMBRD45R,345,BG,JQ,,,,
270813,LOMBARD,R,345,=,163,LMBRD45R,345,BG,JQ,,,,
270812,LOMBARD,B,345,=,103,LMBRD45B,345,BG,JQ,,,,
270812,LOMBARD,B,345,=,104,LMBRD45B,345,BG,JQ,,,,
,,,,,,,,,,,,,
270734,ELMHURST,B,345,=,307,ELMHRS45B8,345,BG,JQ,,,,
270735,ELMHURST,R,345,=,308,ELMHRS45B4,345,BG,JQ,,,,
270735,ELMHURST,R,345,=,907,ELMHURS45B7,345,CR,,,,,
,,,,,,,,,,,,,
270883,SILVER LK,R,345,=,108,SLVLK45 23R,345,BG,JQ,,,,
270883,SILVER LK,R,345,=,138,SLVLK45 1R,345,BG,JQ,,,,
270883,SILVER LK,R,345,=,144,SLVRLK45 45R,345,BG,JQ,,,,
270883,SILVER LK,R,345,=,147,SLVRLK45 6R,345,BG,JQ,,,,
270883,SILVER LK,R,345,=,148,SLVRLK45 78R,345,BG,JQ,,,,
270883,SILVER LK,R,345,=,150,SLVRLK45 9R,345,BG,JQ,,,,
,,,,,,,,,,,,,
270928,WOLFS,B,345,=,225,WOLFS,345,BG,JQ,,,,
,,,,,,,,,,,,,
270916,WAYNE,B,345,=,335,WAYNE 45B7,345,BG,JQ,,,,
270916,WAYNE,B,345,=,336,WAYNE 45B6,345,BG,JQ,,,,
